epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,318.928,1.46957,2.40237,1.52571,0.83537,0.59499,0.74027,0.40744,1.42224,2.66535,1.54915,0.000655556,0.000655556,0.000655556
2,586.731,1.38761,1.97845,1.46598,0.6535,0.64573,0.66744,0.39353,1.44479,2.62073,1.70166,0.00129604,0.00129604,0.00129604
3,861.479,1.38963,1.76708,1.45635,0.7262,0.64784,0.69495,0.35514,1.65331,2.34351,1.73776,0.00191013,0.00191013,0.00191013
4,1170.03,1.41018,1.70347,1.48943,0.69169,0.49896,0.61826,0.36352,1.5134,2.13522,1.59479,0.0018812,0.0018812,0.0018812
5,1454.9,1.44763,1.6107,1.47252,0.72106,0.61523,0.70104,0.39749,1.60255,1.82222,1.71006,0.0018416,0.0018416,0.0018416
6,1711.41,1.34844,1.50008,1.43256,0.78825,0.74322,0.80182,0.51058,1.29182,1.57947,1.46805,0.001802,0.001802,0.001802
7,1967.68,1.31938,1.36154,1.42348,0.83142,0.8142,0.87404,0.58468,1.27754,1.27633,1.41768,0.0017624,0.0017624,0.0017624
8,2222.55,1.31631,1.31868,1.43009,0.77088,0.69539,0.78553,0.50145,1.35691,1.49691,1.48063,0.0017228,0.0017228,0.0017228
9,2478.09,1.26609,1.18286,1.3736,0.89732,0.83924,0.90435,0.60369,1.21034,1.11729,1.35018,0.0016832,0.0016832,0.0016832
10,2729.24,1.25959,1.14773,1.35746,0.9203,0.8309,0.93149,0.63471,1.16944,1.0522,1.342,0.0016436,0.0016436,0.0016436
11,2982.12,1.23848,1.11545,1.34529,0.92291,0.83507,0.92796,0.64563,1.13888,0.97331,1.31392,0.001604,0.001604,0.001604
12,3233.47,1.1546,1.05364,1.28602,0.90843,0.87265,0.94598,0.67823,1.07778,0.88701,1.26386,0.0015644,0.0015644,0.0015644
13,3482.76,1.20541,1.10508,1.32509,0.93457,0.84551,0.93829,0.65678,1.06749,1.10141,1.26204,0.0015248,0.0015248,0.0015248
14,3730.99,1.15322,1.00138,1.28548,0.94762,0.86221,0.94827,0.67988,1.04835,0.85631,1.24034,0.0014852,0.0014852,0.0014852
15,3980.16,1.21425,1.00979,1.32638,0.95928,0.88727,0.95908,0.70948,1.01152,0.78172,1.21979,0.0014456,0.0014456,0.0014456
16,4232.48,1.16462,0.94184,1.28957,0.94514,0.88935,0.96646,0.72341,0.95687,0.72773,1.16604,0.001406,0.001406,0.001406
17,4484.79,1.11484,0.90405,1.25223,0.93859,0.90397,0.96629,0.72986,0.96101,0.73224,1.16962,0.0013664,0.0013664,0.0013664
18,4732.53,1.10929,0.95396,1.27659,0.95632,0.86844,0.96392,0.71354,0.97406,0.74315,1.20137,0.0013268,0.0013268,0.0013268
19,4981.66,1.06529,0.86004,1.24135,0.93242,0.89295,0.9672,0.72304,0.95398,0.71003,1.16304,0.0012872,0.0012872,0.0012872
20,5230.67,1.10855,0.88623,1.26354,0.94749,0.90405,0.96786,0.68812,1.02038,0.7169,1.22053,0.0012476,0.0012476,0.0012476
21,5479.42,1.01547,0.79019,1.19406,0.92756,0.89562,0.96611,0.72997,0.91766,0.70087,1.14723,0.001208,0.001208,0.001208
22,5728.33,1.06133,0.81569,1.23598,0.95264,0.93946,0.98044,0.75607,0.9047,0.64812,1.12011,0.0011684,0.0011684,0.0011684
23,5976.36,1.0367,0.79361,1.20741,0.95296,0.93036,0.98065,0.7272,0.94442,0.65431,1.15591,0.0011288,0.0011288,0.0011288
24,6223.44,1.02338,0.76061,1.19381,0.95386,0.9064,0.97923,0.74539,0.93086,0.62014,1.13147,0.0010892,0.0010892,0.0010892
25,6469.09,1.01593,0.77153,1.21434,0.94375,0.94574,0.98284,0.74877,0.90386,0.59578,1.10803,0.0010496,0.0010496,0.0010496
26,6716.23,1.01605,0.75416,1.20342,0.96467,0.94572,0.98308,0.78593,0.8148,0.54475,1.05979,0.00101,0.00101,0.00101
27,6966.34,0.96672,0.6956,1.15824,0.97974,0.90843,0.98218,0.77371,0.82,0.57333,1.04959,0.0009704,0.0009704,0.0009704
28,7216.26,0.93839,0.67239,1.15593,0.96996,0.94389,0.98675,0.7775,0.8136,0.55631,1.04788,0.0009308,0.0009308,0.0009308
29,7466.25,0.94401,0.68426,1.16416,0.96467,0.96912,0.99039,0.78672,0.81565,0.51568,1.05937,0.0008912,0.0008912,0.0008912
30,7716.95,0.9522,0.66429,1.14801,0.96688,0.97704,0.9878,0.78999,0.80164,0.50133,1.03378,0.0008516,0.0008516,0.0008516
31,7969.04,0.93344,0.65336,1.13643,0.97488,0.97495,0.99256,0.78935,0.78991,0.4786,1.0353,0.000812,0.000812,0.000812
32,8215.65,0.88964,0.64224,1.11751,0.98927,0.96207,0.99307,0.79654,0.76604,0.46196,1.02026,0.0007724,0.0007724,0.0007724
33,8462.81,0.90694,0.63473,1.12987,0.97481,0.98747,0.99315,0.80769,0.73327,0.42546,0.99508,0.0007328,0.0007328,0.0007328
34,8710.43,0.91791,0.62593,1.14427,0.96701,0.97925,0.99131,0.80571,0.74499,0.44424,1.00071,0.0006932,0.0006932,0.0006932
35,8959.99,0.93947,0.64772,1.15362,0.98555,0.97077,0.99183,0.79837,0.76876,0.46291,1.01528,0.0006536,0.0006536,0.0006536
36,9207.48,0.91152,0.62628,1.13738,0.98323,0.98539,0.99355,0.81916,0.7188,0.428,0.98812,0.000614,0.000614,0.000614
37,9452.17,0.83624,0.58037,1.08956,0.97938,0.98539,0.9933,0.82667,0.68855,0.41865,0.97333,0.0005744,0.0005744,0.0005744
38,9702.56,0.87138,0.59389,1.10006,0.97362,0.97704,0.99352,0.82295,0.69099,0.40623,0.96779,0.0005348,0.0005348,0.0005348
39,9951.46,0.85378,0.56034,1.0926,0.98137,0.9895,0.99335,0.82842,0.67153,0.38735,0.95596,0.0004952,0.0004952,0.0004952
40,10212.9,0.84608,0.55942,1.09478,0.99373,0.99333,0.99391,0.82972,0.66477,0.38189,0.95516,0.0004556,0.0004556,0.0004556
41,10462.9,0.74269,0.45415,1.02576,0.98813,0.98539,0.99363,0.8311,0.66389,0.40204,0.95369,0.000416,0.000416,0.000416
42,10710.1,0.7134,0.43151,1.01636,0.99452,0.99374,0.99436,0.83922,0.64114,0.36392,0.93966,0.0003764,0.0003764,0.0003764
43,10959.8,0.70589,0.43009,1.01801,0.98956,0.99791,0.99456,0.84471,0.63666,0.37006,0.93567,0.0003368,0.0003368,0.0003368
44,11208.9,0.67973,0.40435,0.9879,0.99387,0.99374,0.99406,0.85322,0.61089,0.3506,0.92723,0.0002972,0.0002972,0.0002972
45,11456.6,0.67388,0.39392,0.98727,0.99671,0.98956,0.99424,0.85335,0.60547,0.34723,0.91895,0.0002576,0.0002576,0.0002576
46,11705.1,0.64108,0.37494,0.98585,0.99374,0.99483,0.99477,0.85825,0.59583,0.33395,0.91707,0.000218,0.000218,0.000218
47,11953.5,0.64296,0.38397,0.97012,0.9979,0.9937,0.99481,0.86199,0.59666,0.33459,0.91548,0.0001784,0.0001784,0.0001784
48,12199.1,0.63173,0.36752,0.97037,0.99161,1,0.99449,0.86081,0.5888,0.32165,0.9128,0.0001388,0.0001388,0.0001388
49,12446.2,0.62799,0.36181,0.96119,0.99377,0.99867,0.99429,0.86509,0.57717,0.31741,0.90634,9.92e-05,9.92e-05,9.92e-05
50,12705.5,0.61559,0.35261,0.95124,0.99579,0.99791,0.9945,0.86448,0.57125,0.3178,0.9036,5.96e-05,5.96e-05,5.96e-05
